index,title,certificate,runtime,genre,desc,rating,votes
27,Ponniyin Selvan: I,UA,167 min,"Action, Drama, Family            ","Vandiyathevan sets out to cross the Chola land to deliver a message from the Crown Prince Aditha Karikalan. Kundavai attempts to establish political peace as vassals and petty chieftains plot against the throne. Unrest grips the land as a long-tailed comet arrives, signalling a time of turmoil.",7.9,"29,437"
28,Yashoda,UA,135 min,"Action, Sci-Fi, Thriller            ","In a highly regimented facility housing surrogate mothers, a pregnant woman discovers that things are not as they seem.",7.7,"6,960"
29,DAMaN,UA,121 min,"Adventure, Biography, Drama            ","The film is set in 2015. Sid, is a young doctor who completed his MBBS has been posted to the cut-off area of Malkangiri district Odisha having 151 villages & infamous for Naxals dominance & no basic facilities. It's a real life tale of perseverance & dedication.",9.3,"11,852"
30,Dhokha: Round D Corner,A,122 min,"Crime, Thriller            ","When a housewife with a personality disorder is taken hostage by a terrorist on the loose and a husband accused of cheating on his wife, have their own versions of reality, how do we know ...                See full summary »",6.8,"10,202"
31,Godfather,UA,157 min,"Action, Crime, Drama            ","After the death of a political leader, a mysterious man steps in to ascend the throne.",5.4,"6,430"
32,The Help,UA,146 min,Drama            ,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.",8.1,"4,60,166"
33,Ram Setu,UA,140 min,"Action, Adventure            ",An atheist archaeologist turned believer must race against time to prove the true existence of the legendary Ram Setu before evil forces destroy the pillar of India's heritage.,5.2,"11,218"
34,Raksha Bandhan,U,108 min,"Comedy, Drama, Family            ","Lala Kedarnath, the eldest and only brother of 4 sisters, runs a chaat shop that was started by his father. Lala promises his frail mother on her deathbed that he will get married only ...                See full summary »",5.1,"24,865"
35,The Happening,UA,91 min,"Adventure, Drama, Sci-Fi            ","A science teacher, his wife, and a young girl struggle to survive a plague that causes those infected to commit suicide.",5,"2,08,391"
36,3 Idiots,UA,170 min,"Comedy, Drama            ","Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",8.4,"4,00,751"
37,HIT: The 2nd Case,A,150 min,"Action, Crime, Drama            ","Krishna Dev aka KD, a laid back cop, works in AP HIT, has to take up a gruesome murder case. As KD unravels the layers of the crime, the stakes rise unbelievably high and the threat comes unusually close.",7.7,"1,779"
38,Drishyam,UA,163 min,"Crime, Drama, Mystery            ","Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime.",8.2,"84,228"
39,Tanaav,UA 16+,30 min,"Action, Crime, Drama            ",A special force is sent to Kashmir to keep terrorism under control. Team leader kills the leader of the terrorists.Later it was found that the terrorist leader was still alive and was planning something big to upset the peace in Kashmir.,8.5,"3,008"
40,Bridge of Spies,UA,142 min,"Drama, History, Thriller            ","During the Cold War, an American lawyer is recruited to defend an arrested Soviet spy in court, and then help the CIA facilitate an exchange of the spy for the Soviet captured American U2 spy plane pilot, Francis Gary Powers.",7.6,"3,12,455"
41,Mukhbir - The Story of a Spy,UA,40 min,"Drama, Mystery, Thriller            ","After the Sino-India war, a highly trained Indian spy enters Pakistan on a mission to gather crucial intelligence and stop Pakistan from launching an attack against India. Will he succeed?",7.8,"1,411"
42,Monster,UA,135 min,"Action, Adventure, Crime            ","On their first wedding anniversary, Lucky Singh, an entrepreneur from Punjab walks into the lives of Anil Chandra and Bhamini. Little do they know that this man will change their future",4.6,"2,366"
43,Vikram Vedha,UA,160 min,"Action, Crime, Drama            ",A tough police officer sets out to track down and kill an equally tough gangster.,7.1,"16,656"
44,Flames,Not Rated,20 min,"Comedy, Drama, Romance            ",A teenage romance from The Timeliners that aims straight from the heart. This web-series is the story of a young romance unfolding as a chemical reaction.,8.9,"30,437"
45,Ghost in the Shell,U,107 min,"Action, Crime, Drama            ","In the near future, Major Mira Killian is the first of her kind: A human saved from a terrible crash, who is cyber-enhanced to be a perfect soldier devoted to stopping the world's most dangerous criminals.",6.3,"2,16,308"
46,The Turning,18,94 min,"Drama, Horror, Mystery            ","A young governess is hired to look after an orphaned girl, but the return of the girl's problematic brother uncovers secrets from their past. A modern take on Henry James' novella ""The Turn of the Screw.""",3.9,"14,748"
47,Breathe: Into the Shadows,16,46 min,"Drama, Thriller            ","""A father's love can save a life... or take one,"" sets the tone for a dark and gritty series.",7.6,"17,362"
48,Tumbbad,A,104 min,"Drama, Fantasy, Horror            ",A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born.,8.2,"49,760"
49,Finch,UA 13+,115 min,"Adventure, Drama, Sci-Fi            ","On a post-apocalyptic Earth, a robot, built to protect the life of his creator's beloved dog learns about life, love, friendship and what it means to be human.",6.9,"83,221"
50,Dredd,A,95 min,"Action, Crime, Sci-Fi            ","In a violent, futuristic city where the police have the authority to act as judge, jury and executioner, a cop teams with a trainee to take down a gang that deals the reality-altering drug, SLO-MO.",7.1,"2,77,176"
51,Kumari,UA,137 min,"Horror, Thriller            ","The world of Kumari, who is married off far away in Kanhirangat, a cursed land beyond Illymala, in the west. A naive Kumari arrives in the cursed land, where people are ready to sacrifice their lives to preserve tradition and power.",6.5,"1,345"
52,Life of Pi,U,127 min,"Adventure, Drama, Fantasy            ","A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger.",7.9,"6,31,341"
53,Lincoln,U,150 min,"Biography, Drama, History            ","As the American Civil War continues to rage, America's president struggles with continuing carnage on the battlefield as he fights with many inside his own cabinet on the decision to emancipate the slaves.",7.3,"2,61,749"
54,Liger,UA,140 min,"Action, Drama, Romance            ","A story about martial arts, dreams and star crossed lovers. Liger is an MMA fighter who trains hard and rises up the ranks with one goal in mind, to fight like his idol, world renowned MMA fighter Mark Anderson and get noticed by him.",3,"46,076"
55,Mismatched,15+,30 min,"Comedy, Drama, Romance            ",The movie will be a romantic film featuring two people who are not right for each other. The story is about Prajakta's character who is a tech wizard and the guy who is interested in her.,5.8,"5,306"
56,Nitham Oru Vaanam,U,146 min,Drama            ,A young man who has OCD happens to read two real stories and goes in search of the endings. He meets Shubha on the way and begins to travel with her.,7.5,564
57,HIT: The First Case,UA,132 min,"Action, Crime, Drama            ","Vikram is a 32-year-old cop. While he is battling with his own traumatic past, the stakes get high when a girl called Preethi mysteriously disappears in Hyderabad and Vikram has to solve the case at any cost.",6.8,"13,994"
58,Hit,UA,125 min,"Action, Crime, Drama            ",An officer of the 'Homicide Intervention Team' who frequently suffers from having his panic attacks does everything in his power to rescue a woman who went missing.,7.6,"6,196"
59,The Girl on the Train,A,112 min,"Crime, Drama, Mystery            ",A divorcee becomes entangled in a missing persons investigation that promises to send shockwaves throughout her life.,6.5,"1,88,476"
60,Lion,U,118 min,"Biography, Drama            ","A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family.",8,"2,37,358"
61,Uunchai,U,173 min,"Adventure, Drama            ","Three friends take a trek to the Everest Base Camp. A simple trek turns out to be a personal, emotional and spiritual journey as they battle their physical limitations and discover the true meaning of freedom.",7.8,"3,575"
62,Kooman,UA,153 min,"Drama, Mystery, Thriller            ",The story is about a strict police officer who relocates to a hilly village on the Kerala-Tamil Nadu border. Few normal incidents that take place suddenly appear to be abnormal.,7.5,"1,600"
63,Doctor G,A,124 min,"Comedy, Drama            ","Uday Gupta finds himself as the lone male student in the Gynaecology department. His reluctance leads to chaos, confusion, comedy and eventually, great camaraderie with his fellow classmates.",7.1,"8,014"
64,Rorschach,UA,150 min,"Action, Mystery, Thriller            ",The Movie is about Luke Anthony who has a mysterious past and is out on a mission to seek revenge from someone who has destroyed him deeply,7.1,"4,146"
65,Four More Shots Please!,18+,60 min,"Comedy, Drama, Romance            ","Four female friends from different walks of life deal with romance, work-life conflicts, ambitions and anxieties in modern-day India.",7.4,"43,218"
66,Karthikeya 2,UA,150 min,"Action, Adventure, Fantasy            ","A sequel to mystic thriller Karthikeya (2014), which deals with the personal problems of Karthik and how he comes out of them. His pursuit of the truth leads him to find out the power of Indian ancient system and Tatva of Lord Sri Krishna.",7.9,"61,190"
67,Laal Singh Chaddha,UA,159 min,"Comedy, Drama, Romance            ","Laal Singh Chaddha, a simple man whose extraordinary journey will fill you with love, warmth, happiness and will also make you laugh.",5.5,"1,72,593"
68,The Family Man,16+,45 min,"Action, Comedy, Drama            ","A working man from the National Investigation Agency tries to protect the nation from terrorism, but he also needs to keep his family safe from his secret job.",8.7,"87,834"
69,The Legend of Hanuman,PG,25 min,Animation            ,"When the power-hungry Ravan tore through the world to unleash evil, in his way stood a humble vaanar awoken to his divinity to become an immortal legend.",9.2,"9,083"
70,Thank God,UA,121 min,"Comedy, Fantasy            ","An egoistic real estate broker in huge debts, meets with an accident.God appears in front of him and informs him that he will have to play a ""GAME OF LIFE"". If he win, he will be sent back to earth and if not, he will be sent to hell.",6.1,"7,459"
71,K.G.F: Chapter 2,UA,168 min,"Action, Crime, Drama            ","In the blood-soaked Kolar Gold Fields, Rocky's name strikes fear into his foes. While his allies look up to him, the government sees him as a threat to law and order. Rocky must battle threats from all sides for unchallenged supremacy.",8.4,"1,32,489"
72,I Am Number Four,UA,111 min,"Action, Adventure, Sci-Fi            ","Aliens and their Guardians are hiding on Earth from intergalactic bounty hunters. They can only be killed in numerical order, and Number Four is next on the list. This is his story.",6.1,"2,39,049"
73,The Bourne Supremacy,A,108 min,"Action, Mystery, Thriller            ","When Jason Bourne is framed for a CIA operation gone awry, he is forced to resume his former life as a trained assassin to survive.",7.7,"4,65,243"
74,The Fall,R,117 min,"Adventure, Drama, Fantasy            ","In a hospital on the outskirts of 1920s Los Angeles, an injured stuntman begins to tell a fellow patient, a little girl with a broken arm, a fantastic story of five mythical heroes. Thanks to his fractured state of mind and her vivid imagination, the line between fiction and reality blurs as the tale advances.",7.8,"1,13,008"
75,Scam 1992: The Harshad Mehta Story,18,54 min,"Biography, Crime, Drama            ","Set in 1980s and '90s Bombay, it follows the life of Harshad Mehta, a stockbroker who took the stock market to dizzying heights and his catastrophic downfall.",9.3,"1,44,453"
76,Padavettu,UA 16+,145 min,"Action, Drama, Thriller            ","The coming of age drama portray the relentless pursuit of the layman, the oppressed section of society who is in a constant struggle and fight to reclaim their unique identity and rightful place in a world meant for all.",7.8,"2,395"
77,The Foreigner,A,113 min,"Action, Thriller            ","A humble businessman with a buried past seeks justice when his daughter is killed in an act of terrorism. A cat-and-mouse conflict ensues with a government official, whose past may hold clues to the killers' identities.",7,"1,15,839"
78,Drishyam 2,13,152 min,"Crime, Drama, Thriller            ",A gripping tale of an investigation and a family which is threatened by it. Will Georgekutty be able to protect his family this time?,8.4,"37,621"
79,Real Steel,UA,127 min,"Action, Drama, Sci-Fi            ","In the near future, robot boxing is a top sport. A struggling ex-boxer feels he's found a champion in a discarded robot.",7,"3,31,227"
80,The Trial of the Chicago 7,18,129 min,"Drama, History, Thriller            ","The story of 7 people on trial stemming from various charges surrounding the uprising at the 1968 Democratic National Convention in Chicago, Illinois.",7.7,"1,78,016"
81,The BFG,UA,117 min,"Adventure, Family, Fantasy            ","An orphan little girl befriends a benevolent giant who takes her to Giant Country, where they attempt to stop the man-eating giants that are invading the human world.",6.3,"86,975"
82,War Horse,U,146 min,"Action, Adventure, Drama            ",Young Albert enlists to serve in World War I after his beloved horse is sold to the cavalry. Albert's hopeful journey takes him out of England and to the front lines as the war rages on.,7.2,"1,58,708"
83,Cirkus,UA,112 min,"Comedy, Drama            ","In ancient India, an adventurous and daring man becomes involved in a decades-old feud between two warring peoples.",8,"1,25,994"
84,Bãhubali: The Beginning,UA,159 min,"Action, Drama            ",Indian Telugu film directed by K. Venkatesh.,8.3,384
85,Tapana,A,96 min,Romance            ,"A comedy-drama, which captures the journey of an engineering graduate Abhishek, who for lack of a better job option joins as secretary of a Panchayat office in a remote village of Uttar Pradesh.",8.9,"71,059"
86,Panchayat,16,35 min,"Comedy, Drama            ","As they shape their future and evolve as individuals, immerse themselves in an upcoming inter school fest and prepare for their 10th board exams.",8.3,"2,057"
87,Crushed,UA 13+,27 min,"Comedy, Drama, Romance            ",The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.,8.1,"2,32,558"
88,Gandhi,U,191 min,"Biography, Drama, History            ",Zakir talks about his experience of growing up with his grand-father and the influence he had on his life.,9.3,"1,631"
89,Zakir Khan: Tathastu,null,94 min,Comedy            ,"An exalted but short-fused surgeon plunges into a spiral of drugs, alcohol and rage after his intense relationship with his girlfriend turbulently ends.",7,"34,025"
90,Kabir Singh,A,173 min,"Action, Drama, Romance            ",A vengeful barbarian warrior sets off to get his revenge on the evil warlord who attacked his village and murdered his father when he was a boy.,5.1,"99,787"
91,Conan the Barbarian,A,113 min,"Action, Adventure, Fantasy            ","Fresh from prison, a street racer who was framed by a wealthy business associate joins a cross-country race with revenge in mind. His ex-partner, learning of the plan, places a massive bounty on his head as the race begins.",6.4,"1,72,087"
92,Need for Speed,UA,132 min,"Action, Thriller            ","A year after their father's funeral, three brothers travel across India by train in an attempt to bond with each other.",7.2,"2,01,379"
93,The Darjeeling Limited,R,91 min,"Adventure, Comedy, Drama            ","A ghost reaches out to two bumbling ghostbusters for a business idea. However, their plans go downhill as the eerie ghost reveals her plan.",7,"7,373"
94,Phone Bhoot,UA,136 min,"Comedy, Horror            ","Arnav, a wealthy business tycoon, decides to ruin Khushi's reputation after he thinks she sabotaged one of his events. Meanwhile, Khushi quietly suffers for the crimes she didn't commit.",7.5,"3,547"
95,Iss Pyaar Ko Kya Naam Doon,PG,22 min,"Drama, Romance            ",A police official starts a wild goose chase to find a murderer. The journey unfolds deep dark secrets from the past which leads to a spine chilling face off in the finale,9.8,"4,387"
96,Maarrich,UA,126 min,"Crime, Mystery, Thriller            ","A link in their pasts leads an honest cop to a fugitive gang boss, whose cryptic warning spurs the officer on a quest to save Mumbai from cataclysm.",8.5,"88,243"
97,Sacred Games,A,50 min,"Action, Crime, Drama            ","Dedicated to Shrimati SL Loney ji, Shri Irodov ji and Maanniya HC Verma ji, 'Kota Factory' is TVF's latest original. India's first 'Black and White' show highlights the problems present day IIT-JEE aspirants face in their day-to-day lives.",9.1,"72,396"
98,Kota Factory,16,45 min,"Comedy, Drama            ","Samay fights heaven and earth to find light. He wants to catch, control, cut and project that light to tell stories. Now to pursue that dream he must leave everything he loves and take a flight to find the light.",7.7,"3,137"
99,Chhello Show,U,110 min,Drama            ,"A spaceship arrives in Arizona, 1873, to take over the Earth, starting with the Wild West region. A posse of cowboys and natives are all that stand in their way.",6,"2,22,604"
100,Cowboys & Aliens,13,119 min,"Action, Sci-Fi, Thriller            ",Dharma is stuck in a rut with his negative and lonely lifestyle and spends each day in the comfort of his loneliness. A pup named Charlie enters his life and gives him a new perspective towards it.,8.9,"31,106"
101,777 Charlie,UA,136 min,"Adventure, Comedy, Drama            ","Based on the life of Indian Space Research Organization scientist Nambi Narayanan, who was framed for being a spy and arrested in 1994. Though free, he continues to fight for justice against the officials who falsely implicated him.",8.8,"50,130"
102,Rocketry: The Nambi Effect,UA,157 min,"Biography, Drama            ","Based on the life of Major Sandeep Unnikrishnan, who was martyred in action during the November 2008 Mumbai attacks and was consequently awarded the Ashoka Chakra, India's highest peacetime gallantry award, on 26 January 2009.",8.2,"28,156"
103,Major,UA,150 min,"Action, Biography, Drama            ",A story of trials and tribulations of four young entrepreneurs who quit their day jobs in order to pursue their start up venture.,9.1,"67,624"
104,TVF Pitchers,Not Rated,40 min,"Comedy, Drama            ",The Kadam family leaves India for France where they open a restaurant directly across the road from Madame Mallory's Michelin-starred eatery.,7.3,"83,919"
105,The Hundred-Foot Journey,PG,122 min,"Comedy, Drama            ","A labourer rises through ranks of a smuggling syndicate, infuriating some powerful forces in the process.",7.6,"75,416"
106,Priest : The Whip and the Rise of the Evil,null,145 min,"Action, Adventure, Horror            ","Duped and sold to a brothel, a young woman fearlessly reclaims her power, using underworld connections to preside over the world she was once a pawn in.",7,"55,725"
107,Pathaan,UA,146 min,"Action, Drama, Thriller            ","A high-octane action film where a special investigator is assigned a case of serial Killings, he finds the case is not what it seems to be and leading down this path is only going to end in a war between everyone involved.",8.4,"57,893"
108,Pushpa: The Rise - Part 1,UA,179 min,"Action, Crime, Drama            ",Siberian gulag escapees travel four thousand miles by foot to freedom in India.,7.3,"1,17,497"
109,Gangubai Kathiawadi,UA,152 min,"Biography, Crime, Drama            ",A dog looks to discover his purpose in life over the course of several lifetimes and owners.,7.2,"73,247"
110,Vikram,UA,175 min,"Action, Crime, Thriller            ","Imagine a night in with 4 girls. Now imagine doing that for 4 years. In a building full of girls that is a Girl's Hostel. Live the Dushmani, the Dosti, the Pyaar, the Bhasad.",7.9,"4,030"
111,The Way Back,A,133 min,"Adventure, Drama, History            ","Story of an old married couple who were satisfied with their mundane middle class life, till their son decides to go for higher studies to USA.",8.2,182
112,A Dog's Purpose,U,100 min,"Adventure, Comedy, Drama            ","When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice.",8.9,"2,01,835"
113,Girls Hostel,12+,23 min,"Comedy, Drama            ","When a nice new neighbor moves in next door, Charley discovers that he is an ancient vampire who preys on the community. Can he save his neighborhood from the creature with the help of the famous ""vampire killer"", Peter Vincent?",6.4,"1,08,164"
114,Vadh,A,110 min,"Drama, Thriller            ","A tragedy that relays a unique story about a Telugu boy who loses what he loves the most: his mother tongue, Telugu. His path then takes on a hilarious yet thought-provoking journey where science and belief come together to save him",8.7,"3,098"
115,Jai Bhim,A,164 min,"Crime, Drama, Mystery            ","Inspired by true incidents, ""Runway 34"" revolves around Captain Vikrant Khanna played by Ajay Devgn, a flying prodigy, whose flight takes a mysterious course after take-off from an international destination.",7,"27,464"
116,Fright Night,A,106 min,"Comedy, Horror            ","Based on the Nirbhaya case, Delhi Crime follows the Delhi Police investigation into the finding of the men who perpetrated this crime.",8.5,"23,326"
117,Cheppalani Undhi,null,142 min,"Action, Comedy, Drama            ","Sultan is a classic underdog tale about a wrestler's journey, looking for a comeback by defeating all odds.",7,"47,157"
118,Runway 34,UA,145 min,"Drama, Thriller            ","A group of small-town young men run a lucrative phishing operation, until a corrupt politician wants in on their scheme -- and a cop wants to fight it.",7.3,"7,875"
119,Delhi Crime,16+,50 min,"Crime, Drama            ","The movie showcases the incidents that take place within four days of Joshi, a mobile shop owner, purchasing a new car owing to a marriage alliance that is almost fixed with a girl called Radha.",4.5,451
120,Sultan,UA,170 min,"Action, Drama, Sport            ",A down-and-out cop lands the case of a lifetime when four suspects are nabbed in the assassination attempt of a journalist. The pursuit leads him to 'Paatal Lok' and to shocking discoveries in the four suspects' pasts.,8,"60,515"
121,Jamtara: Sabka Number Ayega,18,29 min,Crime            ,"A spy, who is estranged from his family due to a mission, suddenly meets his police officer son.",7.6,"4,917"
122,Gold,U,165 min,"Comedy, Drama, Thriller            ","A middle-aged Tukaram is passionate about food and archaeology but a misplaced call from Madhura that adds the tadka to his life. While love simmers, Nicole and Sidharth's story spices up too.",6.8,"1,317"
123,Paatal Lok,18,44 min,"Crime, Drama, Thriller            ",Through the adventures of four friends 'Hostel Daze' captures what goes inside an engineering hostel in India.,8.5,"16,750"
124,Sardar,UA,166 min,"Action, Drama            ","Abhilash Sasidharan receives a summons warrant by the court for a long pending case. Desperate to find out the truth, he finds the real issue where a small conflict snowballed into a bigger one that changes the lives of everyone involved.",8.4,440
125,Tadka,UA 13+,177 min,"Comedy, Drama, Romance            ","A woman gets an opportunity to save the life of a 12-year old boy who witnessed a death during a thunderstorm which happened 25 years ago, by getting connected through the television set during a similar storm in the present.",4.4,"19,667"
126,Hostel Daze,16,159 min,"Comedy, Drama            ",A ruthless Punjabi gangster and his friends clash with a rival gang protecting a corrupt politician.,6.9,980
127,Saudi Vellakka,U,137 min,Drama            ,An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of religion on its people.,8.1,"1,88,945"
128,Dobaaraa,UA,132 min,"Drama, Fantasy, Mystery            ",A young orphan named Lewis Barnavelt aids his magical uncle in locating a clock with the power to bring about the end of the world.,6,"52,379"
129,Shooter,Not Rated,143 min,Action            ,Madhav Mishra is back to fight his toughest case yet nothing is simple and straightforward. Will justice win?,7.8,"3,961"
130,PK,UA,153 min,"Comedy, Drama, Sci-Fi            ","A man returns home after years to find his brother's child bride now grown up and abandoned, and his ancestral village plagued by mysterious deaths.",6.5,"12,345"
131,The House with a Clock in Its Walls,UA,105 min,"Comedy, Family, Fantasy            ","When Shiva, the son of Bahubali, learns about his heritage, he begins to look for answers. His story is juxtaposed with past events that unfolded in the Mahishmati Kingdom.",8.2,"1,02,341"
132,Criminal Justice: Adhura Sach,UA 16+,45 min,"Crime, Drama, Mystery            ","Veera, a male chauvinist, is seeking a bride with his own preconceived set of conditions. However, he unexpectedly ends up marrying Keerthi who is the polar opposite to his expectations. What will happen when the truth is revealed?",7.2,200
133,Bulbbul,16,94 min,"Drama, Horror, Mystery            ","A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of.",8.2,"94,158"
134,Baahubali 2: The Conclusion,UA,167 min,"Action, Drama            ","A widowed child psychologist lives an isolated existence in rural New England. Caught in a deadly winter storm, she must find a way to rescue a young boy before he disappears forever.",4.8,"14,128"
135,Gatta Kusthi,U,144 min,Comedy            ,"Indian army special forces execute a covert operation, avenging the killing of fellow army men at their base by a terrorist group.",8.2,"64,605"
136,Andhadhun,UA,139 min,"Comedy, Crime, Music            ",A husband tries to save his family from mysterious occurrences that are happening around them,6.9,989
137,Shut In,PG-13,91 min,"Drama, Horror, Mystery            ","Fate draws high-school sweethearts, Rajvir and Ronak apart only to bring the star-crossed lovers eye to eye again as adults who must work out their past and get closure before fate strikes again.",7.5,"1,341"
138,Uri: The Surgical Strike,UA,138 min,"Action, Drama, History            ","A heart-wrenching tale that captures the pain, suffering, and struggle of the Kashmiri Pandit community in 1990 and leads Krishna, a young college student, to set out on a quest to uncover the truth.",8.3,"5,60,667"
139,Miral,UA,115 min,Drama            ,A dog finds the meaning of his own existence through the lives of the humans he meets.,7.4,"25,242"
140,Lekh,U,123 min,"Drama, Romance            ","The story through the eyes of Himmat Singh is based on the inspiration was taken from Nineteen Years of nationally significant events, several espionage missions were undertaken by India in the last two decades.",8.6,"33,433"
141,The Kashmir Files,A,170 min,Drama            ,A lighthouse keeper and his wife living off the coast of Western Australia raise a baby they rescue from a drifting rowing boat.,7.2,"57,388"
142,A Dog's Journey,U,109 min,"Adventure, Comedy, Drama            ",Dangerous is a story of two women who have some bad experiences with men and in due course passionately fall in love with each other. The film's story proceeds with how violently they fight...                See full summary »,4.5,673
